cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe
49,2026-04-14T10:50:05.791247+00:00,ADAUSDT,long,7684.877,0.2418,0.2394,-76.2767,0.0,2,0.07684876971541413,normal,normal,-76.2767,209.7609
52,2026-04-14T10:50:42.502735+00:00,ETHUSDT,short,6958.2032,2057.17,2110.17,-179.268,0.0,3,0.06958203213864704,high_vol,normal,-179.268,11.2973
54,2026-04-14T10:50:47.431758+00:00,ETHUSDT,short,25000.0,2107.16,2240.01,-1576.1736,0.0,1,0.25,high_vol,normal,-1576.1736,0.0
55,2026-04-14T10:50:49.918338+00:00,ADAUSDT,long,7216.7187,0.2394,0.2508,343.6533,0.0,6,0.07216718714454118,high_vol,normal,0.0,702.3791
57,2026-04-14T10:50:52.458792+00:00,ETHUSDT,short,25000.0,2190.0,2245.05,-628.4247,0.0,2,0.25,high_vol,normal,-628.4247,0.0
59,2026-04-14T10:50:54.272230+00:00,NEARUSDT,long,10825.0781,1.162,1.346,1714.126,0.0,10,0.10825078071681178,normal,normal,0.0,2235.8165
60,2026-04-14T10:50:55.235224+00:00,ETHUSDT,short,25000.0,2245.05,2369.46,-1385.3812,0.0,3,0.25,normal,normal,-1385.3812,594.6415
65,2026-04-14T10:51:00.388626+00:00,ADAUSDT,long,9907.7612,0.2443,0.2858,1683.0622,0.0,4,0.09907761236463565,crisis,normal,0.0,2056.1748
67,2026-04-14T10:51:03.401384+00:00,ETHUSDT,short,15092.2388,2386.68,1955.91,2723.9863,0.0,6,0.15092238763536436,crisis,normal,0.0,2723.9863
68,2026-04-14T10:51:04.410176+00:00,ARBUSDT,long,6575.7871,0.1077,0.098,-592.2482,0.0,1,0.06575787078706538,crisis,normal,-592.2482,0.0
69,2026-04-14T10:51:05.415958+00:00,ADAUSDT,short,13592.9423,0.2858,0.2849,42.8049,0.0,4,0.13592942344185296,crisis,normal,0.0,613.5373
71,2026-04-14T10:51:07.633569+00:00,ETHUSDT,long,6359.3541,1955.91,1957.82,6.2101,0.0,4,0.06359354085102172,crisis,normal,-22.2067,56.7036
71,2026-04-14T10:51:07.633654+00:00,ARBUSDT,long,12232.8984,0.097,0.0946,-302.6696,0.0,2,0.12232898351888111,crisis,normal,-302.6696,163.9461
73,2026-04-14T10:51:10.306159+00:00,ARBUSDT,long,14965.0169,0.0946,0.0921,-395.4814,0.0,2,0.14965016931902977,crisis,normal,-395.4814,0.0
74,2026-04-14T10:51:13.343897+00:00,ADAUSDT,short,9005.4739,0.2849,0.2971,-385.6328,0.0,5,0.09005473871755268,crisis,normal,-385.6328,828.1622
83,2026-04-14T10:51:31.314883+00:00,ARBUSDT,long,17218.2766,0.0921,0.1,1476.9206,0.0,10,0.1721827662064442,normal,normal,0.0,2374.29
83,2026-04-14T10:51:31.314935+00:00,ADAUSDT,long,16324.1132,0.2692,0.259,-618.5214,0.0,1,0.16324113170221732,normal,normal,-618.5214,0.0
85,2026-04-14T10:51:37.845826+00:00,ADAUSDT,long,21059.5629,0.2544,0.2493,-422.1846,0.0,1,0.21059562850388883,normal,normal,-422.1846,0.0
96,2026-04-14T10:52:02.175489+00:00,ADAUSDT,long,20889.648,0.2552,0.2675,1006.8286,0.0,10,0.20889647991037083,normal,normal,0.0,2881.3308
99,2026-04-14T10:52:09.209594+00:00,ARBUSDT,long,12293.463,0.0963,0.0925,-485.1003,0.0,1,0.12293463035542145,normal,normal,-485.1003,0.0
103,2026-04-14T10:52:21.919284+00:00,ETHUSDT,short,25000.0,2352.97,2060.43,3108.1994,0.0,10,0.25,normal,normal,0.0,3177.6861
103,2026-04-14T10:52:21.919301+00:00,ARBUSDT,long,15229.5673,0.0975,0.0938,-577.9426,0.0,3,0.15229567342663447,normal,normal,-577.9426,203.0609
103,2026-04-14T10:52:21.919310+00:00,NEARUSDT,long,7225.553,1.28,1.224,-316.1179,0.0,1,0.0722555302873682,normal,normal,-316.1179,0.0
108,2026-04-14T10:52:33.868006+00:00,ETHUSDT,short,8088.2371,1992.75,2105.43,-457.3492,0.0,4,0.08088237059898133,normal,normal,-457.3492,32.9171
110,2026-04-14T10:52:38.532669+00:00,NEARUSDT,long,8465.1481,1.18,1.162,-129.1294,0.0,6,0.08465148078206157,normal,normal,-129.1294,78.9124
110,2026-04-14T10:52:38.532692+00:00,ARBUSDT,long,8446.6149,0.09,0.0909,84.4661,0.0,6,0.08446614861895708,normal,normal,-150.162,412.9456
110,2026-04-14T10:52:38.532701+00:00,ADAUSDT,long,7331.2128,0.2418,0.2394,-72.7664,0.0,2,0.0733121277379475,normal,normal,-72.7664,200.1075
113,2026-04-14T10:52:44.340510+00:00,ETHUSDT,short,6505.7858,2057.17,2110.17,-167.6121,0.0,3,0.06505785806563374,high_vol,normal,-167.6121,10.5627
115,2026-04-14T10:52:47.386985+00:00,ETHUSDT,short,25000.0,2107.16,2240.01,-1576.1736,0.0,1,0.25,high_vol,normal,-1576.1736,0.0
116,2026-04-14T10:52:48.764458+00:00,ADAUSDT,long,6746.4902,0.2394,0.2508,321.2614,0.0,6,0.06746490214562524,high_vol,normal,0.0,656.6133
118,2026-04-14T10:52:53.399348+00:00,ETHUSDT,short,25000.0,2190.0,2245.05,-628.4247,0.0,2,0.25,high_vol,normal,-628.4247,0.0
120,2026-04-14T10:52:59.674998+00:00,NEARUSDT,long,11747.724,1.162,1.346,1860.2248,0.0,10,0.11747723978874103,normal,normal,0.0,2426.3802
121,2026-04-14T10:53:01.037010+00:00,ETHUSDT,short,25000.0,2245.05,2369.46,-1385.3812,0.0,3,0.25,normal,normal,-1385.3812,594.6415
126,2026-04-14T10:53:10.722309+00:00,ADAUSDT,long,9492.2432,0.2443,0.2858,1612.4768,0.0,4,0.09492243163767208,crisis,normal,0.0,1969.9416
128,2026-04-14T10:53:15.442086+00:00,ETHUSDT,short,15507.7568,2386.68,1955.91,2798.9829,0.0,6,0.15507756836232792,crisis,normal,0.0,2798.9829
129,2026-04-14T10:53:17.561023+00:00,ARBUSDT,long,6662.9052,0.1077,0.098,-600.0945,0.0,1,0.0666290524705157,crisis,normal,-600.0945,0.0
130,2026-04-14T10:53:19.195932+00:00,ADAUSDT,short,14012.7381,0.2858,0.2849,44.1269,0.0,4,0.14012738102054018,crisis,normal,0.0,632.4854
132,2026-04-14T10:53:22.646003+00:00,ETHUSDT,long,6112.3967,1955.91,1957.82,5.9689,0.0,4,0.061123967384853935,crisis,normal,-21.3444,54.5016
132,2026-04-14T10:53:22.646021+00:00,ARBUSDT,long,12427.4694,0.097,0.0946,-307.4838,0.0,2,0.12427469437529486,crisis,normal,-307.4838,166.5537
134,2026-04-14T10:53:25.710206+00:00,ARBUSDT,long,14993.2554,0.0946,0.0921,-396.2277,0.0,2,0.14993255373971592,crisis,normal,-396.2277,0.0
135,2026-04-14T10:53:27.255614+00:00,ADAUSDT,short,9148.711,0.2849,0.2971,-391.7665,0.0,5,0.091487109671303,crisis,normal,-391.7665,841.3346
144,2026-04-14T10:53:45.890401+00:00,ARBUSDT,long,17349.6036,0.0921,0.1,1488.1853,0.0,10,0.17349603585456788,normal,normal,0.0,2392.3992
144,2026-04-14T10:53:45.890439+00:00,ADAUSDT,long,16761.3509,0.2692,0.259,-635.0883,0.0,1,0.1676135092637091,normal,normal,-635.0883,0.0
146,2026-04-14T10:53:49.897812+00:00,ADAUSDT,long,21302.0615,0.2544,0.2493,-427.046,0.0,1,0.2130206152078903,normal,normal,-427.046,0.0
