cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason
56,2026-04-03T04:03:55.243506+00:00,LINKUSDT,long,6895.5332,8.66,8.65,-7.9625,0.0,3,0.06895533208920157,crisis,normal
61,2026-04-03T04:05:04.826152+00:00,LINKUSDT,long,6390.0185,8.65,8.65,0.0,0.0,4,0.06390018484288355,crisis,normal
61,2026-04-03T04:05:04.826170+00:00,MATICUSDT,short,6109.9815,0.3794,0.3794,-0.0,0.0,4,0.061099815157116454,crisis,normal
63,2026-04-03T04:05:29.182561+00:00,ETHUSDT,long,6390.0185,2054.54,2055.5,2.9858,0.0,6,0.06390018484288355,crisis,normal
63,2026-04-03T04:05:29.182615+00:00,DOTUSDT,short,6109.9815,1.237,1.237,-0.0,0.0,6,0.061099815157116454,crisis,normal
65,2026-04-03T04:06:02.474146+00:00,LINKUSDT,long,6417.419,8.65,8.66,7.419,0.0,4,0.06417418972916974,crisis,normal
66,2026-04-03T04:06:14.665142+00:00,MATICUSDT,short,6082.581,0.3794,0.3794,-0.0,0.0,5,0.06082581027083025,crisis,normal
68,2026-04-03T04:06:38.046557+00:00,LINKUSDT,long,6985.7137,8.66,8.66,0.0,0.0,3,0.06985713710272969,crisis,normal
69,2026-04-03T04:06:56.520188+00:00,ETHUSDT,long,6972.9033,2055.5,2055.29,-0.7124,0.0,6,0.06972903295109703,crisis,normal
72,2026-04-03T04:07:33.781314+00:00,ETHUSDT,long,7051.2046,2055.29,2055.29,0.0,0.0,3,0.07051204576585288,crisis,normal
72,2026-04-03T04:07:33.781352+00:00,LINKUSDT,long,7051.2046,8.66,8.66,0.0,0.0,3,0.07051204576585288,crisis,normal
80,2026-04-03T04:09:16.021735+00:00,ETHUSDT,long,8505.7724,2055.29,2055.65,1.4899,0.0,7,0.085057724293122,crisis,normal
80,2026-04-03T04:09:16.021751+00:00,LINKUSDT,long,8505.7724,8.66,8.67,9.8219,0.0,7,0.085057724293122,crisis,normal
80,2026-04-03T04:09:16.021759+00:00,MATICUSDT,short,6060.0445,0.3794,0.3794,-0.0,0.0,5,0.0606004447739066,crisis,normal
82,2026-04-03T04:09:39.280650+00:00,DOTUSDT,short,6060.0445,1.238,1.239,-4.895,0.0,7,0.0606004447739066,crisis,normal
86,2026-04-03T04:10:32.509238+00:00,ETHUSDT,long,6953.4286,2055.65,2054.27,-4.668,0.0,5,0.06953428636748746,normal,normal
86,2026-04-03T04:10:32.509257+00:00,LINKUSDT,long,6953.4286,8.67,8.66,-8.0201,0.0,5,0.06953428636748746,normal,normal
86,2026-04-03T04:10:32.509267+00:00,MATICUSDT,short,6112.8817,0.3794,0.3794,-0.0,0.0,3,0.06112881707678625,normal,normal
88,2026-04-03T04:10:55.737055+00:00,DOTUSDT,short,6112.8817,1.239,1.237,9.8674,0.0,5,0.06112881707678625,normal,normal
91,2026-04-03T04:11:35.471581+00:00,LINKUSDT,long,6385.6783,8.66,8.65,-7.3738,0.0,4,0.06385678298881232,normal,normal
92,2026-04-03T04:11:47.063677+00:00,ETHUSDT,long,6385.6783,2054.27,2053.39,-2.7355,0.0,5,0.06385678298881232,normal,normal
92,2026-04-03T04:11:47.063707+00:00,DOTUSDT,short,6133.8221,1.237,1.237,-0.0,0.0,3,0.061338221136043834,normal,normal
94,2026-04-03T04:12:16.230713+00:00,MATICUSDT,short,6114.3217,0.3794,0.3794,-0.0,0.0,7,0.06114321701118767,normal,normal
97,2026-04-03T04:12:52.563108+00:00,LINKUSDT,long,6961.8979,8.65,8.66,8.0484,0.0,6,0.06961897857257936,normal,normal
99,2026-04-03T04:13:18.932590+00:00,ETHUSDT,long,6996.9555,2053.39,2055.39,6.815,0.0,6,0.06996955512935717,normal,normal
104,2026-04-03T04:15:04.669667+00:00,DOTUSDT,short,6023.7849,1.238,1.238,-0.0,0.0,3,0.060237849017580135,normal,normal
105,2026-04-03T04:15:16.338280+00:00,ETHUSDT,long,8531.6591,2055.39,2054.59,-3.3207,0.0,6,0.08531659122986325,normal,normal
106,2026-04-03T04:15:30.926806+00:00,LINKUSDT,long,8531.6591,8.67,8.68,9.8404,0.0,7,0.08531659122986325,crisis,normal
106,2026-04-03T04:15:30.926821+00:00,MATICUSDT,short,6023.7849,0.3794,0.3794,-0.0,0.0,5,0.060237849017580135,crisis,normal
109,2026-04-03T04:16:19.678620+00:00,ETHUSDT,long,6534.5949,2054.59,2055.27,2.1627,0.0,4,0.06534594914251922,crisis,normal
111,2026-04-03T04:16:45.899716+00:00,DOTUSDT,short,5965.4051,1.238,1.238,-0.0,0.0,6,0.059654050857480774,crisis,normal
116,2026-04-03T04:17:49.190330+00:00,LINKUSDT,long,7065.9827,8.68,8.69,8.1405,0.0,5,0.07065982699658016,crisis,normal
117,2026-04-03T04:18:02.435121+00:00,ETHUSDT,long,7065.9827,2055.64,2057.48,6.3247,0.0,6,0.07065982699658016,crisis,normal
123,2026-04-03T04:19:17.190982+00:00,LINKUSDT,long,6437.7086,8.69,8.68,-7.4082,0.0,4,0.06437708565072302,crisis,normal
125,2026-04-03T04:19:43.605606+00:00,ETHUSDT,long,6437.7086,2057.48,2055.67,-5.6634,0.0,6,0.06437708565072302,crisis,normal
126,2026-04-03T04:19:55.280687+00:00,DOTUSDT,short,6062.2914,1.238,1.238,-0.0,0.0,7,0.060622914349276975,crisis,normal
126,2026-04-03T04:19:55.280724+00:00,MATICUSDT,short,6062.2914,0.3794,0.3794,-0.0,0.0,7,0.060622914349276975,crisis,normal
128,2026-04-03T04:20:20.396160+00:00,LINKUSDT,long,6936.5212,8.68,8.68,0.0,0.0,3,0.06936521177546957,normal,normal
131,2026-04-03T04:20:58.378407+00:00,ETHUSDT,long,6936.5212,2055.67,2055.01,-2.2271,0.0,6,0.06936521177546957,normal,normal
134,2026-04-03T04:21:35.345128+00:00,LINKUSDT,long,6914.4075,8.68,8.68,0.0,0.0,3,0.0691440745171306,normal,normal
136,2026-04-03T04:22:07.147623+00:00,ETHUSDT,long,6914.4075,2055.01,2054.06,-3.1964,0.0,5,0.0691440745171306,normal,normal
142,2026-04-03T04:23:23.806709+00:00,LINKUSDT,long,6058.0754,8.67,8.67,0.0,0.0,7,0.06058075368135274,normal,normal
142,2026-04-03T04:23:23.806724+00:00,ETHUSDT,long,9121.3352,2054.06,2054.36,1.3322,0.0,3,0.09121335217237725,normal,normal
145,2026-04-03T04:24:02.223279+00:00,DOTUSDT,short,6161.3737,1.237,1.236,4.9809,0.0,4,0.061613737075332346,high_vol,normal
146,2026-04-03T04:24:14.118264+00:00,LINKUSDT,long,6072.4275,8.67,8.67,0.0,0.0,3,0.06072427498895923,high_vol,normal
148,2026-04-03T04:24:38.982019+00:00,MATICUSDT,short,6161.3737,0.3794,0.3794,-0.0,0.0,7,0.061613737075332346,high_vol,normal
150,2026-04-03T04:25:06.258654+00:00,ETHUSDT,long,9108.6412,2054.36,2052.04,-10.2864,0.0,7,0.09108641248343885,high_vol,normal
150,2026-04-03T04:25:06.258676+00:00,DOTUSDT,short,6170.1617,1.236,1.236,-0.0,0.0,5,0.061701617071549884,high_vol,normal
150,2026-04-03T04:25:06.258684+00:00,LINKUSDT,long,6355.2437,8.67,8.66,-7.3302,0.0,3,0.06355243722304284,high_vol,normal
155,2026-04-03T04:26:23.738135+00:00,DOTUSDT,short,6111.501,1.236,1.236,-0.0,0.0,4,0.06111500960260008,normal,normal
156,2026-04-03T04:26:35.336627+00:00,MATICUSDT,short,6142.4404,0.3794,0.3794,-0.0,0.0,7,0.061424403574857823,normal,normal
156,2026-04-03T04:26:35.336652+00:00,ETHUSDT,long,6388.499,2052.04,2052.4,1.1208,0.0,5,0.06388499039739991,normal,normal
158,2026-04-03T04:26:58.826990+00:00,LINKUSDT,long,6388.499,8.66,8.66,0.0,0.0,7,0.06388499039739991,normal,normal
162,2026-04-03T04:27:49.917593+00:00,ETHUSDT,long,9163.5305,2052.4,2052.07,-1.4734,0.0,5,0.09163530518640481,high_vol,normal
164,2026-04-03T04:28:17.281675+00:00,LINKUSDT,long,6095.9972,8.66,8.66,0.0,0.0,5,0.06095997176553631,high_vol,normal
164,2026-04-03T04:28:17.281692+00:00,DOTUSDT,short,6105.6806,1.236,1.237,-4.9399,0.0,3,0.06105680560678716,high_vol,normal
166,2026-04-03T04:28:40.563380+00:00,MATICUSDT,short,6105.6806,0.3794,0.3794,-0.0,0.0,5,0.06105680560678716,high_vol,normal
168,2026-04-03T04:29:04.072610+00:00,ETHUSDT,long,6414.5829,2052.07,2052.61,1.688,0.0,5,0.06414582872316883,high_vol,normal
171,2026-04-03T04:29:43.134099+00:00,LINKUSDT,long,6438.0254,8.66,8.66,0.0,0.0,6,0.06438025364990416,normal,normal
171,2026-04-03T04:29:43.134161+00:00,MATICUSDT,short,6089.2475,0.3794,0.3794,-0.0,0.0,4,0.06089247549561501,normal,normal
172,2026-04-03T04:29:54.964117+00:00,DOTUSDT,short,6061.9746,1.237,1.237,-0.0,0.0,7,0.06061974635009586,normal,normal
174,2026-04-03T04:30:22.684080+00:00,ETHUSDT,long,6408.8866,2051.91,2051.01,-2.811,0.0,5,0.06408886596418834,normal,normal
174,2026-04-03T04:30:22.684095+00:00,LINKUSDT,long,6376.1789,8.66,8.66,0.0,0.0,3,0.06376178897730621,normal,normal
177,2026-04-03T04:30:59.180000+00:00,MATICUSDT,short,6123.8211,0.3794,0.3794,-0.0,0.0,6,0.06123821102269378,normal,normal
178,2026-04-03T04:31:11.024808+00:00,LINKUSDT,long,8390.0921,8.66,8.66,0.0,0.0,3,0.08390092120736965,normal,normal
181,2026-04-03T04:31:50.164996+00:00,ETHUSDT,long,8390.0921,2051.01,2050.0,-4.1316,0.0,6,0.08390092120736965,normal,normal
184,2026-04-03T04:32:30.153976+00:00,LINKUSDT,long,8396.2819,8.65,8.66,9.7067,0.0,5,0.08396281944376319,normal,normal
190,2026-04-03T04:33:45.304985+00:00,LINKUSDT,long,6892.8562,8.66,8.67,7.9594,0.0,5,0.06892856182976323,high_vol,normal
191,2026-04-03T04:33:58.519960+00:00,ETHUSDT,long,6892.8562,2051.44,2052.93,5.0064,0.0,6,0.06892856182976323,normal,normal
192,2026-04-03T04:34:10.393483+00:00,MATICUSDT,short,6123.6205,0.3794,0.3794,-0.0,0.0,3,0.06123620472557588,normal,normal
195,2026-04-03T04:34:48.265081+00:00,DOTUSDT,short,6123.6205,1.236,1.236,-0.0,0.0,6,0.06123620472557588,normal,normal
195,2026-04-03T04:34:48.265113+00:00,ETHUSDT,long,6430.6358,2052.93,2052.11,-2.5686,0.0,4,0.06430635838150289,normal,normal
195,2026-04-03T04:34:48.265127+00:00,LINKUSDT,long,6430.6358,8.67,8.67,0.0,0.0,4,0.06430635838150289,normal,normal
197,2026-04-03T04:35:14.450586+00:00,MATICUSDT,short,6039.659,0.3794,0.3794,-0.0,0.0,4,0.06039659006671609,normal,normal
199,2026-04-03T04:35:41.691589+00:00,ETHUSDT,long,6486.4263,2052.11,2051.36,-2.3706,0.0,4,0.0648642634623943,normal,normal
200,2026-04-03T04:35:53.775767+00:00,LINKUSDT,long,6486.4263,8.67,8.66,-7.4815,0.0,5,0.0648642634623943,normal,normal
200,2026-04-03T04:35:53.775804+00:00,DOTUSDT,short,6013.5737,1.236,1.235,4.8654,0.0,5,0.0601357365376057,normal,normal
