cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe
94,2026-04-14T10:52:01.720353+00:00,ARBUSDT,long,9430.3297,1.6902,1.7635,408.9712,0.0,8,0.0943032966113819,normal,normal,0.0,1086.8703
94,2026-04-14T10:52:01.720371+00:00,ETHUSDT,long,10538.5881,2343.01,2283.14,-269.2883,0.0,1,0.1053858811090605,normal,normal,-269.2883,0.0
97,2026-04-14T10:52:09.538937+00:00,NEARUSDT,long,5094.1982,2.855,2.815,-71.3723,0.0,2,0.05094198171049537,normal,normal,-71.3723,80.2938
98,2026-04-14T10:52:12.278591+00:00,ARBUSDT,long,9386.5727,1.7845,1.7315,-278.783,0.0,3,0.09386572666875156,high_vol,normal,-278.783,43.6585
98,2026-04-14T10:52:12.278616+00:00,NEARUSDT,long,6468.9842,2.815,2.754,-140.1805,0.0,1,0.0646898417808721,high_vol,normal,-140.1805,0.0
105,2026-04-14T10:52:27.163426+00:00,ETHUSDT,long,10519.2292,2304.28,2507.21,926.3923,0.0,10,0.10519229162075305,high_vol,normal,-66.1481,926.3923
112,2026-04-14T10:52:41.759287+00:00,ETHUSDT,short,25000.0,2774.81,2881.2,-958.5341,0.0,4,0.25,high_vol,normal,-958.5341,0.0
113,2026-04-14T10:52:43.627721+00:00,ETHUSDT,short,12500.0,2881.2,2944.8,-275.9267,0.0,1,0.125,normal,normal,-275.9267,0.0
118,2026-04-14T10:52:53.818642+00:00,ETHUSDT,short,5419.6385,2971.4,2992.62,-38.7039,0.0,2,0.054196384507004064,normal,normal,-38.7039,89.6646
119,2026-04-14T10:52:56.520175+00:00,ETHUSDT,short,6081.7913,2992.62,3112.59,-243.8106,0.0,1,0.060817912567165455,normal,normal,-243.8106,0.0
120,2026-04-14T10:53:00.010350+00:00,ADAUSDT,short,12500.0,0.6193,0.6191,4.0368,0.0,8,0.125,normal,normal,-232.1169,744.7925
121,2026-04-14T10:53:02.266947+00:00,ETHUSDT,short,9339.4699,3175.94,3242.36,-195.3209,0.0,1,0.09339469946070408,normal,normal,-195.3209,0.0
124,2026-04-14T10:53:09.352788+00:00,ETHUSDT,short,9571.6815,3383.1,3433.43,-142.3968,0.0,2,0.09571681488568907,normal,normal,-142.3968,121.6866
126,2026-04-14T10:53:13.840098+00:00,ARBUSDT,long,15315.8562,1.808,2.0439,1998.3465,0.0,10,0.1531585622374286,normal,normal,-78.7818,1998.3465
127,2026-04-14T10:53:16.248967+00:00,ARBUSDT,long,21220.4406,2.0439,1.9823,-639.5514,0.0,1,0.21220440592057024,crisis,normal,-639.5514,0.0
132,2026-04-14T10:53:24.187348+00:00,ARBUSDT,long,16384.1658,2.1645,2.0962,-516.9963,0.0,2,0.1638416579322625,crisis,normal,-516.9963,0.0
134,2026-04-14T10:53:26.482016+00:00,ETHUSDT,short,13168.4381,3905.21,4064.8,-538.1403,0.0,2,0.13168438126036755,crisis,normal,-538.1403,90.1678
134,2026-04-14T10:53:26.482031+00:00,ADAUSDT,short,11831.5619,0.7416,0.7754,-539.2486,0.0,2,0.11831561873963244,crisis,normal,-539.2486,398.8525
135,2026-04-14T10:53:27.582776+00:00,ARBUSDT,long,16840.0426,2.083,2.0173,-531.1526,0.0,1,0.168400425778982,crisis,normal,-531.1526,0.0
137,2026-04-14T10:53:31.032573+00:00,ARBUSDT,long,20344.305,2.1152,2.0155,-958.9293,0.0,1,0.20344305034553106,crisis,normal,-958.9293,0.0
139,2026-04-14T10:53:34.414687+00:00,ADAUSDT,long,5635.2534,0.7274,0.6591,-529.1281,0.0,1,0.056352534244631006,crisis,normal,-529.1281,0.0
139,2026-04-14T10:53:34.414706+00:00,ARBUSDT,long,19364.7466,1.8879,1.7566,-1346.7828,0.0,1,0.19364746575536898,crisis,normal,-1346.7828,0.0
141,2026-04-14T10:53:38.498143+00:00,ADAUSDT,long,5096.9005,0.6814,0.6603,-157.8289,0.0,1,0.05096900518789889,crisis,normal,-157.8289,0.0
141,2026-04-14T10:53:38.498160+00:00,ARBUSDT,long,16397.0251,1.7363,1.6232,-1068.0778,0.0,1,0.16397025104166607,crisis,normal,-1068.0778,0.0
144,2026-04-14T10:53:45.709946+00:00,ARBUSDT,long,12240.6071,1.6247,1.6843,449.0307,0.0,2,0.12240607073453118,crisis,normal,0.0,912.3761
145,2026-04-14T10:53:47.839021+00:00,ARBUSDT,long,10467.1623,1.6843,1.6041,-498.4067,0.0,1,0.10467162258962387,crisis,normal,-498.4067,0.0
150,2026-04-14T10:53:56.118529+00:00,ARBUSDT,long,9827.0793,1.5952,1.6548,367.1602,0.0,4,0.09827079323045784,crisis,normal,0.0,787.9159
