symbol,entry_ms,exit_ms,direction,entry_z,entry_price,exit_price,gross_ret,gross_pnl_usd,fee_usd,pnl_usd
ADAUSDT,1657288800000,1657306800000,-1,-1.00480509,0.46790000,0.46760000,0.0006411626,6.4116,24.0000,-17.5884
ADAUSDT,1658260800000,1658278800000,-1,-1.00515721,0.52020000,0.52570000,-0.0105728566,-105.7286,24.0000,-129.7286
ADAUSDT,1658278800000,1658296800000,-1,-1.16102270,0.52570000,0.53950000,-0.0262507133,-262.5071,24.0000,-286.5071
ADAUSDT,1658779200000,1658797200000,-1,-1.02246397,0.49500000,0.46630000,0.0579797980,579.7980,24.0000,555.7980
ADAUSDT,1661018400000,1661036400000,1,1.03205297,0.44170000,0.45080000,0.0206022187,206.0222,24.0000,182.0222
ADAUSDT,1664143200000,1664161200000,-1,-1.08216700,0.44420000,0.44360000,0.0013507429,13.5074,24.0000,-10.4926
ADAUSDT,1664175600000,1664193600000,-1,-1.03617270,0.44200000,0.44410000,-0.0047511312,-47.5113,24.0000,-71.5113
ADAUSDT,1664863200000,1664881200000,-1,-1.05155835,0.43020000,0.43160000,-0.0032543003,-32.5430,24.0000,-56.5430
ADAUSDT,1668027600000,1668045600000,1,1.02717200,0.31230000,0.33580000,0.0752481588,752.4816,24.0000,728.4816
ADAUSDT,1668175200000,1668193200000,1,1.18331065,0.35050000,0.35100000,0.0014265335,14.2653,24.0000,-9.7347
ADAUSDT,1668319200000,1668337200000,1,1.03942858,0.33450000,0.33290000,-0.0047832586,-47.8326,24.0000,-71.8326
ADAUSDT,1671595200000,1671613200000,1,1.07067154,0.24940000,0.25360000,0.0168404170,168.4042,24.0000,144.4042
ADAUSDT,1671717600000,1671735600000,1,1.12911292,0.24970000,0.25070000,0.0040048058,40.0481,24.0000,16.0481
ADAUSDT,1672531200000,1672549200000,1,1.01555859,0.24450000,0.24450000,0.0000000000,0.0000,24.0000,-24.0000
ADAUSDT,1682535600000,1682553600000,1,1.22389090,0.38660000,0.41010000,0.0607863425,607.8634,24.0000,583.8634
ADAUSDT,1683507600000,1683525600000,1,1.19559240,0.36900000,0.36760000,-0.0037940379,-37.9404,24.0000,-61.9404
ADAUSDT,1683712800000,1683730800000,1,1.15939205,0.35720000,0.37040000,0.0369540873,369.5409,24.0000,345.5409
ADAUSDT,1683738000000,1683756000000,1,1.23009149,0.36480000,0.37010000,0.0145285088,145.2851,24.0000,121.2851
ADAUSDT,1683806400000,1683824400000,1,1.20775796,0.35740000,0.35270000,-0.0131505316,-131.5053,24.0000,-155.5053
ADAUSDT,1683824400000,1683842400000,1,1.21295792,0.35270000,0.35850000,0.0164445705,164.4457,24.0000,140.4457
ADAUSDT,1685124000000,1685142000000,-1,-1.02005778,0.36550000,0.36260000,0.0079343365,79.3434,24.0000,55.3434
ADAUSDT,1685232000000,1685250000000,-1,-1.04123459,0.37040000,0.37350000,-0.0083693305,-83.6933,24.0000,-107.6933
